loan_account_number;customer_type;customer_id;loan_product_type;loan_status_code;loan_status_flag;days_past_due;final_maturity_date;total_installment_count;outstanding_installment_count;paid_installment_count;first_payment_date;original_loan_amount;outstanding_principal_balance;nominal_interest_rate;total_interest_amount;kkdf_rate;kkdf_amount;bsmv_rate;bsmv_amount;grace_period_months;installment_frequency;loan_start_date;loan_closing_date;customer_region_code;sector_code;internal_credit_rating;default_probability;risk_class;customer_segment;internal_rating;external_rating
LOAN_000001;V;CUST_00001;4;A;A;0;20250901;1;1;0;20250901;28370;26410;0;0;0;0;5.14;0;0;1;20250618;;REGION_1;4;3;0.0217;1;1;8;934
LOAN_000002;T;CUST_00002;4;A;A;0;20250914;0;0;0;20250914;1490;1320;0;0;0;0;4.75;0;0;1;20250701;;REGION_2;4;10;0.0392;1;1;11;781
LOAN_000003;T;CUST_00003;4;A;A;45;20260320;12;9;3;20250418;186080;159460;5.13;4691.65;0;0;5.03;249.58;0;1;20250320;;REGION_3;4;1;0.0211;1;1;9;789
LOAN_000004;V;CUST_00004;4;A;A;0;20250911;0;0;0;20250911;14070;14010;0;0;0;0;4.89;0;0;1;20250628;;REGION_4;4;2;0.0182;1;1;7;908
LOAN_000005;T;CUST_00005;4;A;A;0;20250824;0;1;0;20250824;41460;35010;0;0;0;0;4.85;0;0;1;20250610;;REGION_5;4;7;0.0461;1;1;14;135
LOAN_000006;T;CUST_00006;4;A;A;0;20260224;7;7;0;20250725;128040;153400;5.20;1942.98;15.41;270.93;5.07;99.68;0;1;20250626;;REGION_6;4;2;0.0176;1;1;7;790
LOAN_000007;T;CUST_00007;4;A;A;98;20260226;11;7;3;20250328;52070;34210;2.73;205.01;15.74;33.75;5.04;8.79;0;1;20250226;;REGION_6;4;3;0.0377;1;1;2;733
LOAN_000008;V;CUST_00008;4;A;A;0;20250808;1;2;0;20250711;136020;150450;6.68;6692.52;0;0;4.70;346.12;0;1;20250610;;REGION_1;4;9;0.0353;1;1;7;244
LOAN_000009;T;CUST_00009;4;A;A;0;20250924;3;3;0;20250725;17990;23270;4.80;249.67;0;0;5.01;10.61;0;1;20250627;;REGION_6;4;3;0.0354;1;1;6;979
LOAN_000010;V;CUST_00010;4;A;A;0;20251222;5;6;0;20250725;239010;266280;5.79;4868.37;0;0;4.64;246.77;0;1;20250624;;REGION_7;4;10;0.0251;1;1;;877
LOAN_000011;T;CUST_00011;4;A;A;0;20250905;2;3;0;20250708;32880;32350;4.91;1651.74;14.79;201.01;4.97;80.10;0;1;20250607;;REGION_1;4;10;0.0191;1;1;;475
LOAN_000012;T;CUST_00005;4;A;A;0;20250908;1;1;0;20250908;7560;6530;0;0;0;0;5.39;0;0;1;20250625;;REGION_5;4;2;0.0214;1;1;;641
LOAN_000013;T;CUST_00012;4;A;A;51;20260416;11;10;2;20250516;343250;297490;5.25;9882.49;15.59;1454.69;4.73;476.16;0;1;20250416;;REGION_8;4;4;0.0369;1;1;;491
LOAN_000014;V;CUST_00013;4;A;A;0;20250902;0;0;0;20250902;40210;39900;0;0;0;0;5.49;0;0;1;20250619;;REGION_9;4;5;0.0315;1;1;;644
LOAN_000015;V;CUST_00014;4;A;A;0;20250913;0;0;0;20250913;28700;31650;0;0;0;0;4.81;0;0;1;20250630;;REGION_1;4;3;0.0117;1;1;;971
LOAN_000016;T;CUST_00015;4;A;A;0;20250817;2;2;0;20250718;338240;321680;4.88;7220.78;0;0;5.01;314.88;0;1;20250619;;REGION_10;4;5;0.0311;1;1;;931
LOAN_000017;T;CUST_00016;4;A;A;0;20250913;2;2;0;20250716;43620;42170;0;0;0;0;5.20;0;0;1;20250615;;REGION_3;4;10;0.0306;1;1;;339
LOAN_000018;T;CUST_00017;4;A;A;0;20260519;12;11;0;20250619;88910;78550;5.21;2641.79;0;0;4.96;110.70;0;1;20250519;;REGION_11;4;2;0.0482;1;1;2;97
LOAN_000019;V;CUST_00018;4;A;A;0;20250906;1;1;0;20250906;76310;76210;0;0;0;0;5.42;0;0;1;20250623;;REGION_12;4;5;0.0420;1;1;4;821
