loan_account_number;installment_number;actual_payment_date;scheduled_payment_date;installment_amount;principal_component;interest_component;kkdf_component;bsmv_component;installment_status;remaining_principal;remaining_interest;remaining_kkdf;remaining_bsmv
LOAN_004184;1;;2025-09-02;66680;71350;0;0;0;A;83330;0;0;0
LOAN_001711;1;;2025-07-25;53490;40870;5185.48;0;227.36;A;39350;4992.03;0;267.84
LOAN_001711;2;;2025-08-23;47700;45700;2299.22;0;124.38;A;41690;2489.19;0;133.09
LOAN_002395;1;;2025-09-13;13070;13290;0;0;0;A;16020;0;0;0
LOAN_000068;1;;2025-09-08;3360;3180;0;0;0;A;3100;0;0;0
LOAN_000802;1;20241031;2024-10-31;36710;18070;22163.21;0;963.97;K;0;0;0;0
LOAN_000802;10;;2025-07-31;39860;32110;7360.67;0;340.83;A;35830;7069.52;0;366.97
LOAN_000802;11;;2025-08-29;48710;37710;4580.49;0;266.88;A;39630;4324.63;0;222.65
LOAN_000802;12;;2025-09-30;48490;44760;2578.13;0;124.35;A;40150;2613.55;0;143.21
LOAN_000802;2;20241129;2024-11-29;39370;22570;21056.48;0;1105.36;K;0;0;0;0
LOAN_000802;3;20241231;2024-12-31;44340;24070;17613.48;0;932.59;K;0;0;0;0
LOAN_000802;4;20250131;2025-01-31;47650;23870;19835.52;0;1012.13;K;0;0;0;0
LOAN_000802;5;20250228;2025-02-28;40030;25230;14659.79;0;798.33;K;0;0;0;0
LOAN_000802;6;20250401;2025-04-02;37770;28230;18100.89;0;757.80;K;0;0;0;0
LOAN_000802;7;20250430;2025-05-02;41760;30330;11338.91;0;703.56;K;0;0;0;0
LOAN_000802;8;20250602;2025-06-02;46950;30320;10697.04;0;623.12;K;0;0;0;0
LOAN_000802;9;20250701;2025-07-03;38430;33330;8137.17;0;410.36;K;0;0;0;0
LOAN_004147;1;;2025-09-09;45360;57320;0;0;0;A;55840;0;0;0
LOAN_001282;1;;2025-09-09;35910;35560;0;0;0;A;36990;0;0;0
LOAN_000689;1;;2025-09-02;9400;7730;0;0;0;A;8300;0;0;0
LOAN_004151;1;;2025-09-07;44430;41840;0;0;0;A;35470;0;0;0
LOAN_000036;1;;2025-09-02;10030;10260;0;0;0;A;10280;0;0;0
LOAN_002435;1;;2025-09-12;13050;10210;0;0;0;A;12220;0;0;0
LOAN_002122;1;20241129;2024-11-29;34580;17880;18967.85;0;971.40;K;0;0;0;0
LOAN_002122;10;;2025-08-29;40750;28740;7235.81;0;324.48;A;29340;6853.53;0;300.03
LOAN_002122;11;;2025-09-29;35810;32380;5033.13;0;221.07;A;27190;4479.66;0;203.93
LOAN_002122;12;;2025-10-30;39680;29340;2208.40;0;107.78;A;38150;2168.09;0;118.28
LOAN_002122;2;20241227;2024-12-30;36970;18570;16879.84;0;998.10;K;0;0;0;0
LOAN_002122;3;20250123;2025-01-30;38690;18570;16732.78;0;769.05;K;0;0;0;0
LOAN_002122;4;20250225;2025-02-28;38210;18100;13621.23;0;839.35;K;0;0;0;0
LOAN_002122;5;20250328;2025-04-01;34300;19580;14322.62;0;684.64;K;0;0;0;0
LOAN_002122;6;20250428;2025-05-01;32190;21330;12695.88;0;566.73;K;0;0;0;0
LOAN_002122;7;20250530;2025-05-30;31600;27560;9739.79;0;575.36;K;0;0;0;0
LOAN_002122;8;20250627;2025-07-02;32310;25620;9897.93;0;568.96;K;0;0;0;0
LOAN_002122;9;;2025-07-30;35810;23910;8165.42;0;358.57;A;28890;8514.14;0;411.26
LOAN_000537;1;;2025-09-09;45570;36830;0;0;0;A;38980;0;0;0
LOAN_001381;1;;2025-09-10;23940;21050;0;0;0;A;23560;0;0;0
LOAN_002596;1;20241129;2024-11-29;24300;12900;13250.39;0;766.36;K;0;0;0;0
LOAN_002596;10;;2025-08-29;29360;24730;5071.90;0;216.34;A;20670;5003.25;0;236.40
LOAN_002596;11;;2025-09-29;28360;26050;3507.76;0;188.96;A;22010;2975.66;0;146.03
LOAN_002596;12;;2025-10-30;25230;21900;1791.82;0;84.28;A;22690;1523.88;0;89.77
LOAN_002596;2;20241230;2024-12-30;27640;11530;13924.30;0;652.98;K;0;0;0;0
LOAN_002596;3;20250129;2025-01-30;30800;13170;13440.58;0;708.86;K;0;0;0;0
LOAN_002596;4;20250227;2025-02-28;26150;16410;12265.92;0;539.52;K;0;0;0;0
LOAN_002596;5;20250401;2025-04-01;26840;15520;11686.68;0;567.94;K;0;0;0;0
LOAN_002596;6;20250501;2025-05-01;27120;15600;9804.55;0;419.00;K;0;0;0;0
LOAN_002596;7;20250529;2025-05-30;26530;17910;8946.90;0;364.49;K;0;0;0;0
LOAN_002596;8;20250620;2025-07-02;27720;17950;8879.27;0;366.33;K;0;0;0;0
LOAN_002596;9;;2025-07-30;28420;21170;5176.04;0;300.81;A;22840;5723.59;0;245.60
LOAN_000040;1;;2025-07-25;5950;5650;492.55;0;25.21;A;5340;544.47;0;23.24
LOAN_000040;2;;2025-08-24;6260;6390;243.88;0;15.02;A;6460;299.83;0;12.63
LOAN_000458;1;;2025-09-04;20470;22390;0;0;0;A;24760;0;0;0
LOAN_001336;1;;2025-07-25;18060;12770;1911.11;0;127.13;A;15300;2197.69;0;97.08
LOAN_001336;2;;2025-08-22;18060;13680;1070.30;0;50.27;A;13380;967.87;0;52.98
LOAN_002127;1;;2025-09-09;40400;43690;0;0;0;A;36780;0;0;0
LOAN_001166;1;;2025-07-21;4960;3640;1092.27;0;71.81;A;3690;1172.34;0;65.75
LOAN_001166;2;;2025-08-18;4210;3880;1078.38;0;50.08;A;3620;905.23;0;50.00
LOAN_001166;3;;2025-09-18;4480;4360;966.22;0;40.78;A;4180;931.46;0;49.33
LOAN_001166;4;;2025-10-17;5070;4890;686.11;0;31.39;A;3880;572.47;0;29.65
LOAN_001166;5;;2025-11-18;4620;4470;427.43;0;25.86;A;4410;492.63;0;21.03
LOAN_001166;6;;2025-12-18;5220;4950;199.14;0;11.02;A;5350;202.79;0;11.61
LOAN_001716;1;;2025-07-21;7500;9470;0;0;0;A;8510;0;0;0
LOAN_001716;2;;2025-08-18;7660;7480;0;0;0;A;7920;0;0;0
LOAN_001716;3;;2025-09-18;9350;7580;0;0;0;A;7700;0;0;0
LOAN_001716;4;;2025-10-17;8160;9430;0;0;0;A;8060;0;0;0
LOAN_001716;5;;2025-11-18;7380;9450;0;0;0;A;7700;0;0;0
