customer_id;customer_type;loan_account_number;loan_status_code;days_past_due;final_maturity_date;total_installment_count;outstanding_installment_count;paid_installment_count;first_payment_date;original_loan_amount;outstanding_principal_balance;nominal_interest_rate;total_interest_amount;kkdf_rate;kkdf_amount;bsmv_rate;bsmv_amount;grace_period_months;installment_frequency;loan_start_date;loan_closing_date;insurance_included;customer_district_code;customer_province_code;internal_rating;external_rating
CUST_02237;I;LOAN_004441;A;0;20260302;10;7;3;20250402;98940;88600;55.47;785.08;15.14;113.73;15.27;112.31;0;1;20250302;;H;DISTRICT_B;PROVINCE_1;2;1366
CUST_00373;I;LOAN_004442;A;0;20251217;5;5;0;20250720;8570;8530;52.83;214.61;15.78;32.48;13.98;30.79;0;1;20250619;;H;DISTRICT_B;PROVINCE_2;4;965
CUST_00898;I;LOAN_004443;A;0;20260101;10;5;6;20250201;67480;39130;53.09;347.43;13.87;50.81;16.27;47.18;0;1;20250101;;E;DISTRICT_B;PROVINCE_3;1;1251
CUST_02040;I;LOAN_004444;A;0;20260307;8;8;0;20250708;16340;14390;63.62;57.18;16.10;8.85;14.64;9.37;0;1;20250605;;H;DISTRICT_B;PROVINCE_4;6;918
CUST_00929;I;LOAN_004445;A;0;20260131;9;7;1;20250602;2120;1740;55.57;16.33;14.89;2.92;14.31;2.84;0;1;20250502;;E;DISTRICT_B;PROVINCE_5;8;1545
CUST_00929;I;LOAN_004446;A;0;20260119;8;6;2;20250521;1990;2070;59.50;56.59;15.20;7.54;15.65;6.76;0;1;20250421;;E;DISTRICT_B;PROVINCE_5;2;
CUST_00929;I;LOAN_004447;A;0;20260118;8;6;2;20250520;1960;1940;55.88;52.97;14.59;8.43;16.49;7.68;0;1;20250420;;E;DISTRICT_B;PROVINCE_5;1;
CUST_00929;I;LOAN_004448;A;0;20260119;9;7;1;20250521;1350;1300;54.61;34.80;14.25;4.89;15.16;5.22;0;1;20250421;;E;DISTRICT_B;PROVINCE_5;15;
CUST_00929;I;LOAN_004449;A;0;20260117;9;7;1;20250519;3030;2190;57.40;65.79;15.66;9.44;16.42;8.95;0;1;20250419;;E;DISTRICT_B;PROVINCE_5;10;
CUST_00929;I;LOAN_004450;A;0;20260121;8;6;1;20250523;2510;1870;59.60;48.20;16.26;6.75;15.30;8.53;0;1;20250423;;E;DISTRICT_B;PROVINCE_5;11;
CUST_00929;I;LOAN_004451;A;0;20260117;8;7;2;20250519;2580;2120;58.43;71.56;16.43;9.19;15.10;11.25;0;1;20250419;;E;DISTRICT_B;PROVINCE_5;15;
CUST_00929;I;LOAN_004452;A;0;20260119;8;7;1;20250521;3510;3180;57.30;86.51;14.70;12.37;15.52;12.14;0;1;20250421;;E;DISTRICT_B;PROVINCE_5;8;
